ins,tw,text,location1,location2
genevieve.chua,genevieveheartz,"Audrey Hepburn @ The Crown Casino, Melbourne https://t.co/u6AkaWyYAd",138.55310983,-34.97390411
formationagency,FormationAgency,#OnNow Adelaide The best Caribbean DJs in town are bringing you the vybz &amp; beats this arvo at… https://t.co/XWkomD6NYm,138.55423002,-34.96470511
carleetaylor1,carleetaylor1,Not every day do u get to have breakfast &amp; talk sport with legends like these 2 😏… https://t.co/BCBANA027T,138.55423002,-34.96470511
pigrabbit16,PigRabbit16,I love the free brekky at work 👌,138.5281702,-34.94861555
lianaazhar,lianaazhar,"I'm at @HarbourTownAdel in West Beach, SA w/ @nadiahaliff https://t.co/eWjNBX42wf",138.51995131,-34.94635401
_nrathirahh_,_nrathirahh_,"I'm at @HarbourTownAdel in West Beach, SA https://t.co/qXPegUJJcC",138.51995131,-34.94635401
thaialan/,thaialan30,"Shopping for women's shoes (at @HarbourTownAdel in West Beach, SA) https://t.co/2pE9T28hlf",138.51995131,-34.94635401
thaialan/,thaialan30,"Shopping for women's shoes (at @HarbourTownAdel in West Beach, SA) https://t.co/2pE9T28hlf",138.51995131,-34.94635401
thaialan/,thaialan30,"Shopping for women's shoes (at @HarbourTownAdel in West Beach, SA) https://t.co/2pE9T28hlf",138.51995131,-34.94635401
syaftriasa/,_syafiqaah,"I'm at @HarbourTownAdel in West Beach, SA https://t.co/OL3NvyR2Du",138.51991645,-34.94551326
stephadtr,stephadtr,Adelaide by Anberlin is continuously playing in my head,138.5257495,-34.9384493
stephadtr,stephadtr,EMMA WHERE ARE YOU,138.5257495,-34.9384493
stephadtr,stephadtr,I've been in Adelaide for 40 minutes and I haven't even seen Emma yet :(,138.5257495,-34.9384493
s.corpiusrose,ANGLBYN,"HK Disneyland 🥀

[06/14/18] @ Disneyland, Hong… https://t.co/hlmA8ndHzl",138.53200131,-34.94263598
jasonchan15/,JasonCJC,"I'm at Cafe Terra Rosa in Adelaide Airport, SA https://t.co/C14DCFZqup",138.53749,-34.94092
puddingphoto,threelayertea,Morning pipel,138.5365985,-34.9397268
kimb0lene1/,kimb0lene,Retro Qantas plane at Adelaide airport #AVGeek #ADL #qantas #retroroo https://t.co/nkt78La60l https://t.co/XD0yxokAXB,138.5358887,-34.9391133
stephcusworth,StephCusworth,"I'm at @Qantas Club in Adelaide Airport, SA https://t.co/Z7d1uIitqR",138.53691101,-34.93924637
nikasyraaf/,nikasyraaf,"Good day mate 👋🏻 (at @AdelaideAirport in Adelaide, SA) https://t.co/7yai8GF7YL",138.53687812,-34.93831178
jasonchan15/,JasonCJC,"I wil never miss my flight again! (at @AdelaideAirport in Adelaide Airport, SA) https://t.co/Z42c3Xad3o",138.53732762,-34.93839829
jasonchan15/,JasonCJC,"Back to reality soon (at @AdelaideAirport in Adelaide Airport, SA) https://t.co/zmebKmqNR2",138.53732762,-34.93839829
stephcusworth,StephCusworth,"Home tiem (at @AdelaideAirport in Adelaide Airport, SA) https://t.co/LB1lNBYX0V",138.53732762,-34.93839829
nikasyraaf/,nikasyraaf,"I'm at @AdelaideAirport in Adelaide Airport, SA w/ @insiyaa__ https://t.co/2uTzYM9oBa",138.53732762,-34.93839829
nikasyraaf/,nikasyraaf,"I'm at @AdelaideAirport in Adelaide Airport, SA https://t.co/zj4KT4lLeV",138.53732762,-34.93839829
looneylui,looneyLui,"I'm at @AdelaideAirport in Adelaide Airport, SA https://t.co/dFW8HPCLpC",138.53732762,-34.93839829
looneylui,looneyLui,"I'm at @AdelaideAirport in Adelaide Airport, SA https://t.co/8UWqjcpg2T",138.53732762,-34.93839829
nikasyraaf/,nikasyraaf,"I'm at @AdelaideAirport in Adelaide Airport, SA https://t.co/KFqnxugLsy",138.53732762,-34.93839829
syaftriasa/,_syafiqaah,"Arrived! (at @AdelaideAirport in Adelaide Airport, SA) https://t.co/Jw8E7tJ2JV",138.53732762,-34.93839829
syaftriasa/,_syafiqaah,"I'm at @AdelaideAirport in Adelaide Airport, SA https://t.co/NElR6gXqUh",138.53732762,-34.93839829
nikasyraaf/,nikasyraaf,"I'm at @AdelaideAirport in Adelaide, SA https://t.co/naplvsRoxn",138.53732762,-34.93839829
alaa_wah,alaa_wah,"Until next time beautiful SA 💚 (at @AdelaideAirport in Adelaide, SA) https://t.co/4AiB0zVkDU",138.53732762,-34.93839829
pigrabbit16,PigRabbit16,I just wanna sleep! i dont wanna work!! 😭😭,138.53744465,-34.93802149
stephcusworth,StephCusworth,Returning to Melbourne (again). @ Adelaide Airport https://t.co/DDRtEjAVNH,138.54408538,-34.94344563
msmithson,mattsmithson,Back in #Adelaide for tonight's #AFLCrowsTigers #weflyasone http://t.co/2Sj2cdjjHX,138.538685,-34.939508
afiqahsuhaimee,afiqahsuhaimee,"Subuh Empat Syawal di awangan. 
Alhamdulillah selamat sampai di bumi Adelaide :) @ Adelaide Airport http://t.co/8SJ7AmcJq6",138.53760263,-34.93884028
afiqahsuhaimee,afiqahsuhaimee,"Subuh Empat Syawal di awangan. 
Alhamdulillah selamat sampai di bumi Adelaide :) @ Adelaide Airport http://t.co/8SJ7AmcJq6",138.53760263,-34.93884028
jeddobre,jeddobre,Stoked to be waiting at the airport getting ready to celebrate this clowns 21st on the Goldy!… http://t.co/fG5OKUODeW,138.53760263,-34.93884028
lianaazhar,lianaazhar,"Byebye Adelaide. Ni sampai Malaysia je. Aku nak cari nasi lemak. 

P/s: Thank you @cheekda for the… http://t.co/PVtLH1aDP0",138.53760263,-34.93884028
stephadtr,stephadtr,But I don't want to go home 😭😭 @ Adelaide Airport http://t.co/olooZcZyiW,138.53760263,-34.93884028
misskittycharms,misskittycharms,"💕 our friendship: a summary 💕
#whenimakebaemisstheplane #waitingfor5hours @ Adelaide Airport http://t.co/JhaUJPmcpi",138.53760263,-34.93884028
misskittycharms,misskittycharms,All dressed up to wait a year for the plane 😓 (@illamasqua aura palette with a heavy dose of filters)… http://t.co/sC3B6HIOgk,138.53760263,-34.93884028
nathansahb,NathanSahb,The Kingdom --&gt; --&gt; Melbourne @ Adelaide Airport https://t.co/0a6SwCpD30,138.53780266,-34.93860732
_nrathirahh_,_nrathirahh_,Bubaii Adelaide. Thanks to Adelaide-ians. The trip went very well and we're so happyy!… https://t.co/Ocveb9ueQR,138.53780266,-34.93860732
steve_koura/,Steve_Koura,Home! For a day or so anyway... #work #adelaide #southaustralia #godscountry #southaustralia… https://t.co/c1FCA94kNq,138.53780266,-34.93860732
blairwangqueen,BlairWangQ,"Happy Birthday taylorswift , hope AAMI Park staff give you my made this… https://t.co/OwJ1Dj14hF",138.53780266,-34.93860732
izzibattdoyle,izzibattdoyle,Goodbye Adelaide! It's been great to be home the last couple months with family &amp; friends and… https://t.co/1K325kY7X8,138.53784794,-34.93859372
iammrdom,iamMrDom,"@airlinepilotguy Gday Captain Jeff, I’m at Adelaide Airport waiting for a friend watching the planes : ) https://t.co/dsAOW7t6ho",138.53894991,-34.93837144
iammrdom,iamMrDom,"Pushback, time to fly… #aviationlovers #iphoneography #virginaustralia @ Virgin Australia Terminal… https://t.co/ui3nf1uA96",138.53921234,-34.93806728
jessieheath,jessiebiscuit,"I'm at @AdelaideAirport (ADL) in Adelaide Airport, SA https://t.co/P0lfWOmamN",138.53875637,-34.93734661
lianaazhar,lianaazhar,"Hehehehehehe (at @AdelaideAirport (ADL) in Adelaide Airport, SA) https://t.co/jYMShi1Kyl",138.53875637,-34.93734661
lianaazhar,lianaazhar,"I'm at @AdelaideAirport (ADL) in Adelaide Airport, SA w/ @nadiahaliff https://t.co/3aGL7ReV70",138.53875637,-34.93734661
_nrathirahh_,_nrathirahh_,"Tachedown! (at @AdelaideAirport (ADL) in Adelaide Airport, SA) https://t.co/4CtPl6MTvZ",138.53875637,-34.93734661
jeronmoore,runjeronrun,"ADL -&gt; SYD (at @AdelaideAirport (ADL) in Adelaide Airport, SA w/ @davetropp) https://t.co/PzN76sdNAn",138.53875637,-34.93734661
jessieheath,jessiebiscuit,"Home (at @AdelaideAirport (ADL) in Adelaide Airport, SA) https://t.co/7j6XHZtZ2H",138.53875637,-34.93734661
jessieheath,jessiebiscuit,"Home (at @AdelaideAirport (ADL) in Adelaide Airport, SA) https://t.co/7j6XHZtZ2H",138.53875637,-34.93734661
karl_anthony2/,KarlCali,Hanging out in Adelaide airport whilst playing bodybuilding podcasts and twisting it with people watching. Enjoying the beautiful women 😜,138.5390534,-34.9373232
running4elephants,wordsoftracey,Boarding delayed due to medical emergency on inbound flight. Mother turns to me with crazy eyes &amp; croaks out #Ebola! #africanparents #lol,138.54019336,-34.93754472
,adamgibson_1,Quick photo with @Alisa_Lysandra from @TheBlock9 #36ers #theblock #thetwins http://t.co/eyHnFliQ6q,138.54044074,-34.93847208
marianascoppa_/,MariiScoppa,aaaa lo que te amo loca❤ @ Elena Fashion House https://t.co/ncGUJbKSPJ,138.55992,-34.9715
felipehamilton/,FelipeHamilton,Summer weekend ☀️🏰🇮🇪 #lovedublin #irish #ireland #dublin #trimcastle #fit #fitness #fitnessmodel… https://t.co/jVcxQctnUH,138.5730743,-34.9793816
frankfilmfuji/,Frank_theTank78,"From fender bender to light bender.
#iphoneography #blackandwhitephoto @ Maid of Auckland https://t.co/xHJXZBz19y",138.57327,-34.97544
allypartridge_,allypartridge_,bestfrand 💀 @ Hot box http://t.co/LTnDPARulM,138.57326269,-34.97381726
anabellico,anabllico,"✌💜 @ Horseshoe Bay, Pt Elliot https://t.co/zvJztUXQD5",138.56892762,-34.96927799
inkiemay/,inkie_mama,"Three guesses what I'm having 😉☕ #coffee #coffeeownsme #cafe #bliss @ Bracegirdle's Cross Road,… http://t.co/Q64qBHVEYg",138.57948983,-34.96698489
spookytits,cgrzs,182.5x3 new pb 😷 @ Anytime Fitness Black Forest https://t.co/scwCnIzIbS,138.5730896,-34.9633102
joowon_forever,___Moonjunwon,@joo_ryu  긍깤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,138.5913885,-34.9771405
joowon_forever,___Moonjunwon,@AnselElgort baby did you interact with Sam Smith? I really do hope to see you lovelys together...someday... D: @samsmithworld,138.5919697,-34.9776128
joowon_forever,___Moonjunwon,@jiwon_1029 꼭와!!! 무슨젤리?ㅋㅋㅋㅋㅋ내가다사갈겧ㅎㅎㅎㅎㅎㅎㅎ,138.5910858,-34.9706847
joowon_forever,___Moonjunwon,CAN I HAVE A FREE TICKET TO YOUR ADELAIDE SHOW?  😂😂 #AskSam @samsmithworld,138.5910427,-34.9705907
joowon_forever,___Moonjunwon,@samsmithworld Can I lay by your side? #AskSam,138.5910427,-34.9705907
joowon_forever,___Moonjunwon,@joo_ryu 그점도 격공 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ내가짤라주고싶어...ㅋㅋㅋㅋ,138.5896359,-34.9664737
joowon_forever,___Moonjunwon,@samsmithworld Can you make this fan feel awesome? #AskSam,138.5907853,-34.9662569
joowon_forever,___Moonjunwon,@joo_ryu ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근대진짜애기가부럽드아 ㅠㅜㅠㅜㅜㅜ,138.5903092,-34.9603516
joowon_forever,___Moonjunwon,"@Moonjunwon 수고하셨습니다 오빠. 유진슨배 기다리고있던게 어그제같은데...벌서 시간이 이렇게 빨리갔네요. 저도 칸타빌레보면서 많이 배웠어요! 너무 고마워요 오빠♡ 사랑하구, 진짜 너무 수고했어요~오빠팬이여서 너무 자랑스럽고 행복하네요 :)",138.5901952,-34.9590047
geesloan,georgiesloan,Worst fear conquered today? Successs! #bloodtest,138.59958122,-34.9618556
brenny_smalls,brenny_smalls,The price of Nando's had me like http://t.co/hHMzHHRzmy,138.5655241,-34.956224
brenny_smalls,brenny_smalls,Private instagtam accounts with 50K+ followers?,138.5665183,-34.9558457
brenny_smalls,brenny_smalls,Congrats on your storm photos.,138.5664849,-34.9557839
brenny_smalls,brenny_smalls,Congrats on your latest deadlift.,138.5665023,-34.9557842
brenny_smalls,brenny_smalls,"""It was easy son. I commented 'perf' on 13 of her photos and the rest was history..."" #howimetyourmother",138.5665536,-34.9557956
brenny_smalls,brenny_smalls,The new BLT muffins from McDonald's are my happy place,138.5666527,-34.9557949
brenny_smalls,brenny_smalls,My greatest achievement in life so far is having a full fridge.,138.566668,-34.9557972
brenny_smalls,brenny_smalls,Retail ain't that bad but liquor stores are repulsive. I can't even look or speak to some of the locals. They make me sick,138.5666773,-34.9557976
brenny_smalls,brenny_smalls,So someone tied their dog to a trolley here yesterday. So they could go in and shop.,138.5666261,-34.9557695
brenny_smalls,brenny_smalls,@danger_zoe @MermaidErotica tough. But fair,138.5666092,-34.9557578
brenny_smalls,brenny_smalls,"If you ""nominate"" me for something on social media, I will ""nominate"" you to drink rat poison.",138.5666508,-34.955764
brenny_smalls,brenny_smalls,"It's not that I'm an asshole, it's just I have no interest in anything anybody has to say.",138.5666674,-34.9557779
brenny_smalls,brenny_smalls,"""How do you take your coffee?"" Very Fucking seriously mate.",138.5666691,-34.9557759
brenny_smalls,brenny_smalls,Yeah you're single. Get over it.,138.5666745,-34.9557873
brenny_smalls,brenny_smalls,I bought new work pants yesterday but did not realise they were as thick as the walls of hell and twice as hot.,138.5666884,-34.9557886
brenny_smalls,brenny_smalls,Don't take this the wrong way or anything but fuck you.,138.5666896,-34.9557877
brenny_smalls,brenny_smalls,"I know I'm gonna stir the pot with this one, but I do not care for laksa...",138.5666521,-34.9557554
brenny_smalls,brenny_smalls,"I don't care who you are or what you do, if you wore a beanie with a singlet this weekend punch yourself in the face.",138.5666726,-34.9557581
brenny_smalls,brenny_smalls,I'm not ashamed to say that Pringles are a big part of my life.,138.5666784,-34.9557619
brenny_smalls,brenny_smalls,"""I dont have my ID, but can i show you my Facebook page?"" Um, probably not hey",138.5666934,-34.9557533
brenny_smalls,brenny_smalls,26 y.o non smoker seeking Pringles tube for immediate consumption.,138.5667299,-34.9557817
brenny_smalls,brenny_smalls,@MermaidErotica I'm your biggest fan. Can i get a RT? Xx,138.5667121,-34.9557554
brenny_smalls,brenny_smalls,"Make no mistake, the elderly are the scum of the earth.",138.5667215,-34.9557564
brenny_smalls,brenny_smalls,"@bellavenom @emerrr when troy and I were over there we legit always screamed out ""carn the leaf"" as in carn the pear ya dig? Haha",138.5664922,-34.9556955
brenny_smalls,brenny_smalls,@bellavenom @emerrr I'm happy to hear. #carntheleaf,138.5665475,-34.9557268
brenny_smalls,brenny_smalls,"It's 2014, why the fuck do people still have lip rings?",138.5666307,-34.9557365
brenny_smalls,brenny_smalls,Four people served before 9.01am. You fucking parasites.,138.5666401,-34.9557227
brenny_smalls,brenny_smalls,@MermaidErotica @danger_zoe I will cum in every laksa,138.5666556,-34.9557283
brenny_smalls,brenny_smalls,@danger_zoe @MermaidErotica I got enuf protein for the both of ya,138.5666762,-34.9557384
brenny_smalls,brenny_smalls,"""Did he have his teeth in this time?"" Is a phrase used at my work more often than it should be.",138.5666551,-34.9557185
brenny_smalls,brenny_smalls,If you think mankind is evolving I encourage you to watch the self serve checkouts at Coles for a few minutes.,138.5666941,-34.9557069
brenny_smalls,brenny_smalls,Coles have cheddar cheese Pringles for $1 I will eat them all if you're reading this its too late...,138.5666535,-34.9556929
brenny_smalls,brenny_smalls,Gee I'm glad this work shirt shows my every bead of sweat.,138.5666768,-34.9556923
brenny_smalls,brenny_smalls,"Hi, I ordered a flat white but I think you gave me fire",138.5667788,-34.9557141
brenny_smalls,brenny_smalls,This close to pouring the kettle into my cereal bowl this morning. Help,138.5667329,-34.9556791
brenny_smalls,brenny_smalls,When people spend time in an overseas city &amp; put it in their bio next to their home city like they some celebrity jet-setting between both,138.5666345,-34.9555597
brenny_smalls,brenny_smalls,I can never work out who's exercising in my area and who's running around in Nike sweats trying to score crystal.,138.566609,-34.9555553
brenny_smalls,brenny_smalls,The air con in my old car recently broke about 2 or 3 years ago so it's been rough.,138.566699,-34.9555232
brenny_smalls,brenny_smalls,Just in case your legion of fans wondered where you and your fucking acai bowl posts went.,138.566906,-34.9555997
brenny_smalls,brenny_smalls,"When people post about taking a ""break"" from social media http://t.co/tz6XeC9tsc",138.566964,-34.9556233
brenny_smalls,brenny_smalls,Sweet hand tattoo. Once you get some arm tattoos it'll all really come together.,138.5669571,-34.9556084
brenny_smalls,brenny_smalls,@Crouchy35 a slight arousal for pho on my side,138.5669667,-34.9555977
brenny_smalls,brenny_smalls,Traditional? Traditionally fucking brain dead Mr Abbott.,138.5669681,-34.9555875
brenny_smalls,brenny_smalls,Stop pissing &amp; moaning about alcohol prices. Yeah lets buy something we don't need &amp; bitch the whole time. I do it to my coke dealer too...,138.5669965,-34.9556147
ashleeyevanss_,ashbaaag_,"I'm an artist. 
🐶 #Coco #10th @ 🎁🎈🎉 http://t.co/HT3c7pJ03w",138.56737378,-34.9499072
henditamaulida,henditamaulida,"Ya Rabb, aku tak memintaMu mengurangi bebanku, karena sungguh segala dariMu sesuai--tidak… https://t.co/O42yjKkb4z",138.57371748,-34.95844889
mach_bar,_mach_bar,"LEGS &amp; STEEL
.
The little things that keeps you smiling... #sockdoping and #steelisreal
.
Can't… https://t.co/OM7TngD991",138.57371748,-34.95844889
mach_bar,_mach_bar,"AUTUMN RIDES
.
it's this time of the year where you jump from sunny warm afternoons to wet and… https://t.co/MRsQWsxY4E",138.57371748,-34.95844889
nprslia_,nprslia_,"Right now, I'm climbing the ladder to reach the live targets. The… https://t.co/MSnLspXhdw",138.57371748,-34.95844889
mach_bar,_mach_bar,"#SHOWTIME
.
Super cool socks by https://t.co/IEKYSfpzk2 for the Berlin @fahrradschau
.
Black or… https://t.co/71hhhaZYJx",138.57371748,-34.95844889
joowon_forever,___Moonjunwon,"@Hozier Dear Hozier, COULD YOU PLEASE I BEG YOU COME TO ADELAIDE, AUSTRALIA PLZ I SRSLY MEAN IT WITH ALL MY HEART PLEASE",138.5768274,-34.9489012
pigrabbit16,PigRabbit16,Baked PowTeytow 👌🏼 @ Villis https://t.co/PYXhJr6x1U,138.5724182,-34.9395409
chloeeatsdirt/?hl=en,ChloeCann,"Eat, sleep, explore, repeat 🤠🤠🤠 #TheGhan #TrainLife #dranks @greatsthnrail
.
.
.
.
.
#Ghan… https://t.co/ffdLCPJGYJ",138.5810672,-34.93799166
stevemikic,SMikic13,"Amazing gum tree at Goodwood Oval 🌳📸
#goodwood #adelaide #southaustralia 
#gumtree #greengrass #bluesky… https://t.co/K13lTm54Ke",138.58320923,-34.95598451
joowon_forever,___Moonjunwon,5시간만에앉았엉 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ허리아파서 쥭을뻔 ㅠ,138.5898073,-34.9569123
ed_trinh,ed_trinh,Blueberry and vanilla tiramisu @ Eggless Dessert Cafe https://t.co/FwGrmVVR9j,138.589386,-34.9531403
joowon_forever,___Moonjunwon,"Mr Grey is love, Mr Grey is life @JamieDornan http://t.co/qNWrfQz125",138.5898967,-34.9550022
joowon_forever,___Moonjunwon,올해 책많이 읽었넹 ㅎ 잼있는거 많어♡,138.5898396,-34.9546167
joowon_forever,___Moonjunwon,허리이퍼 ㅠㅠㅠㅠㅠㅠㅠㅠ,138.5898142,-34.9535342
joowon_forever,___Moonjunwon,@woodelijah I hope to witness your big beautiful blue eyes before I die in REAL LIFE Elijah x,138.5895042,-34.9506238
joowon_forever,___Moonjunwon,@samsmithworld BUT IM AT WORK IN AN HOUR NO SAM DO IT IN LIKE 30MINS I DONT HAVE THE PATIENCE TO WAIT,138.589898,-34.9522006
fitzy18,FitzySA,This is breathtaking. #looselenny @ Blink &amp; You'll Miss It https://t.co/6QkWvWEgxX,138.59202,-34.95263
inkiemay/,inkie_mama,Nom nom nom #weightloss #weightlossjourney #fattofit #cheatmeal #thegoody @ The Goody https://t.co/8SkpWp8im4,138.5895925,-34.94837792
alaa_wah,alaa_wah,"Their stake 😍👌🏻 (@ Godi La Vita in Adelaide, South Australia) https://t.co/S0MeNez4LX",138.59991074,-34.95495286
girlaroundadelaide,girlaroundADL,"#Antica #pizza @ #UnleyGourmetGala.  First time trying Antica... loved it, will be having it… https://t.co/yrsWQ4ukWp",138.60006136,-34.95460657
girlaroundadelaide,girlaroundADL,"#Antica #pizza @ #UnleyGourmetGala.  First time trying Antica... loved it, will be having it… https://t.co/yrsWQ4ukWp",138.60006136,-34.95460657
girlaroundadelaide,girlaroundADL,"#Antica #pizza @ #UnleyGourmetGala.  First time trying Antica... loved it, will be having it… https://t.co/yrsWQ4ukWp",138.60006136,-34.95460657
girlaroundadelaide,girlaroundADL,"Looks all a bit the same colour, but...
Fuck yes
Amazing
10/10
'Nuff said 
#BurgerRepublic… https://t.co/lFvwuNNvib",138.59984424,-34.95269419
neerynanani,neerynxnxni,Just posted a photo @ The Maze Runner https://t.co/kXuwTPwIYF,138.59959522,-34.95146821
/yanieshauqy,YanieShauqy,Tak berkesempatan lagi nak baca novel ni sebab busy ada life hmm 😌 #😍 @ The Maze Runner https://t.co/eUL6NTs6Bb,138.59959522,-34.95146821
nikasyraaf/,nikasyraaf,"I'm at Royal Adelaide Show in Wayville, SA https://t.co/GBad6BCPVq",138.58640347,-34.94538149
crisduman,Crisduman,Flips... en Royal Adelaide Show https://t.co/QEaIOYoGcv,138.58660698,-34.94533233
crisduman,Crisduman,Burn it up... @ Royal Adelaide Show https://t.co/wTJYcZ7rEU,138.58660698,-34.94533233
_arif_zakwan_/,arif_zakwan_,Salam Aidilfitri dan salam Syawal daripada kami di perantauan.… https://t.co/WWNXFXeUrf,138.58400899,-34.94237714
ashley_beatriz,Ashley_Beatriz,"Hell yeah.
Fuckin' right.

Finally saw champagnepapi tonight after 6 years of love. Life is complete… https://t.co/xliiFxoHDF",138.58654596,-34.94456309
miyoshi3434,11130Miyoshi,"Had amazing 2days with amazing my best friend 😍😘.   We love ""Crazy Coaster "". 

#adelaideshow… https://t.co/33j9yEh3aB",138.58703399,-34.94429531
taytaymarimari,taytaymarimari,#cottoncandy #pink #royaladelaideshow #purple #popcorn #colorful #cute #yellow @ The Royal Adelaide Show https://t.co/OihMddp456,138.58703399,-34.94429531
joowon_forever,___Moonjunwon,@Vevo_AU @samsmithworld That was infinitely beautiful xx,138.5857173,-34.942601
lachlanmoss27,lachlanmoss27,Coffee making level 50 #vilis @ Adelaide Showground http://t.co/cLF8RnpuUg,138.5879716,-34.94571617
a.kersh,akersh_,Just posted a photo @ Wayville Showgrounds https://t.co/jAuuSvjV9H,138.58729178,-34.9450583
inkiemay/,inkie_mama,"At the royal adelaide show. This is my treat, peanut butter and nutella ice cream 😍 oh my soooo good… https://t.co/e1ZLOsviqd",138.5891724,-34.9451599
_joanneling,_joanneling,"▶It's been awhile since we screamed like a mad man in the amusement park.

#vscocam #vscogrid… https://t.co/YxSAM9jZAY",138.5891724,-34.9451599
taytaymarimari,taytaymarimari,#royaladelaideshow @ The Royal Adelaide Show https://t.co/CK71vibUdG,138.5891724,-34.9451599
_joanneling,_joanneling,▶Rewarding yourself with good experiences is an alternative way to relieve STRESS in this busy week;… https://t.co/otXl6OCEnw,138.5891724,-34.9451599
brotheramos,BrotherAmos,Beer and BBQ festival.  Winner. @ Adelaide Beer Festival https://t.co/Yxt35y8v6o,138.5891724,-34.9451599
jessieheath,jessiebiscuit,Show vibes @ The Royal Adelaide Show https://t.co/pYgNVblVVp,138.58713521,-34.94448279
kirari0722,khmh7128,Thank you guys 😍😍😍 heaps of fun today!!!! I'm so sad to think about I have to leave here in two… https://t.co/3ZNDfhPd4r,138.58713521,-34.94448279
taytaymarimari,taytaymarimari,"💜🍦ア イ ス ク リ ー ム💜🍦

#icecream #purple #blue #colorful #pink #yellow #yum #yummy #foodpic #foodphoto… https://t.co/FeHsFIjRJ5",138.5870601,-34.94436654
joowon_forever,___Moonjunwon,변태인줄,138.5889592,-34.9437005
joowon_forever,___Moonjunwon,#Latch @samsmithworld,138.5885524,-34.9420871
joowon_forever,___Moonjunwon,@joo_ryu ㅋㅋㅋㅋㅋㅋㅋ격공ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,138.5896585,-34.941891
katipope,Katie__Pope,"Looking forward to my first @NorwoodFC game tonight, Go Andy! 👊",138.59117067,-34.94184026
bigbadwolfdogg,BigBadWolfdogg,This #Saturday night @rcwrestling's #TrialByStone hits the centre of #Adelaide so make sure you… https://t.co/tXOxxUWk5Y,138.59589,-34.94272
bigbadwolfdogg,BigBadWolfdogg,At least #JimmyC appreciated my JimmyC inspired eyewear... always have to impress the boss !!… https://t.co/Fk8CSVwVy4,138.59589,-34.94272
bigbadwolfdogg,BigBadWolfdogg,"Don’t miss out 
Riot City Rumble:
October 28
Latvian Hall, 4 Clark St Waivlle
doors open at… https://t.co/nunnvTpWUX",138.59589,-34.94272
bigbadwolfdogg,BigBadWolfdogg,"Never jerk around your c-man, especially when he’s your general manager.... I think as employees… https://t.co/nBFLeBI4FX",138.59589,-34.94272
bigbadwolfdogg,BigBadWolfdogg,Tomorrow night #ADELAIDE comes alive as @rcwrestling hits the Latvian Hall with the… https://t.co/aFUJTql4Nf,138.59589,-34.94272
melodylovejoy88,Mermaid_M3LODY,@SenatorLudlam #clean #energy #more #jobs #free #education + #training for #sustainable #future #jobseekers #pathway 2 #solar #energy,138.5969071,-34.9414822
melodylovejoy88,Mermaid_M3LODY,@knarfnamduh @unanoble @fedupofpollys @harkinator9000 let's start our own,138.5971034,-34.9414645
melodylovejoy88,Mermaid_M3LODY,"""@SirThomasWynne: @TonyAbbottMHR 
http://t.co/kvEVjv5GyR 
#worstPMever http://t.co/AUdl9741m7""",138.5973091,-34.9414213
melodylovejoy88,Mermaid_M3LODY,@DrGolightly @fedupofpollys @ascottkoba plenty of educated Australians now to compose new order and agenda,138.5972495,-34.9413755
melodylovejoy88,Mermaid_M3LODY,@fedupofpollys @OliviaIllyria it does and it opens channels for questioning self worth. how does that compare?,138.5972829,-34.9414053
melodylovejoy88,Mermaid_M3LODY,@fedupofpollys @OliviaIllyria it does and it opens channels for questioning self worth. how does that compare?,138.5972829,-34.9414053
melodylovejoy88,Mermaid_M3LODY,@smokingJoeBlow @AnnoyingRants1 who are we to impose our democracy and views on another nation. Oh wait there's money to made...that's right,138.5972825,-34.9414025
melodylovejoy88,Mermaid_M3LODY,@SirThomasWynne @fedupofpollys I get to start job seeker this month. Oh wait I'm under 30. 6 months. Povo Christmas anyone?,138.5972927,-34.9413843
melodylovejoy88,Mermaid_M3LODY,@vicmelcpa @NedHector Ohhh man. I have a fire in my heart. There's enough power inside all of us to end this.,138.5972956,-34.941403
melodylovejoy88,Mermaid_M3LODY,@vjmahon @AdamBandt get on it! #greenbucketchallenge,138.5973074,-34.9414023
melodylovejoy88,Mermaid_M3LODY,Baader Meinhof Complex Trailer: http://t.co/oE0M2gVPsU,138.5973097,-34.9414023
melodylovejoy88,Mermaid_M3LODY,scilist rvoltn phnmn suchas rcsm sxsm hmphbia whch thy rgu only mtrlisd wth emrgnce ofclss scty will evntlly disppr alongside mtrial rlities,138.5973103,-34.9414007
melodylovejoy88,Mermaid_M3LODY,@IntuitiveGal1 awwwww. Ever seem video of women giving birth in dantree forest,138.5973158,-34.9414019
melodylovejoy88,Mermaid_M3LODY,@fedupofpollys @DrGolightly #revolution coffee time. Rant time,138.5973258,-34.9414017
melodylovejoy88,Mermaid_M3LODY,@EarthPix @LionsAustralia make some think of this sorry! http://t.co/fbGf4xAyRU,138.5973319,-34.9413982
melodylovejoy88,Mermaid_M3LODY,@KieraGorden @TAbbottFreeZone @JSalmonupstream http://t.co/clUgC7j7Em,138.5973152,-34.9413791
melodylovejoy88,Mermaid_M3LODY,@WorkcoverVictim @TAbbottFreeZone http://t.co/clUgC7j7Em,138.5973152,-34.9413791
